"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","reference_no","is_extant","n_occs"
"498078","498078","txn","","","Sasayamagnomus","","498078","genus","Sasayamagnomus","52774","89376","extinct","1"
"38846","38846","txn","","","Bagaceratops","","38846","genus","Bagaceratops","38845","6048","extinct","18"
"140727","140727","txn","","","Gobiceratops","subjective synonym of","38846","genus","Bagaceratops","38845","29118","extinct","18"
"58850","58850","txn","","","Platyceratops","subjective synonym of","38846","genus","Bagaceratops","38845","11744","extinct","18"
"84663","84663","txn","","","Magnirostris","subjective synonym of","38846","genus","Bagaceratops","38845","18461","extinct","18"
"58848","58848","txn","","","Lamaceratops","subjective synonym of","38846","genus","Bagaceratops","38845","11744","extinct","18"
"58853","58853","txn","","","Breviceratops","","58853","genus","Breviceratops","38845","86270","extinct","2"
"38848","38848","txn","","","Protoceratops","","38848","genus","Protoceratops","38845","14566","extinct","38"
"85991","85991","txn","","","Bainoceratops","subjective synonym of","38848","genus","Protoceratops","38845","18696","extinct","38"
"67677","67677","txn","","","Turanoceratops","","67677","genus","Turanoceratops","52820","14447","extinct","6"
"66590","66590","txn","","","Zuniceratops","","66590","genus","Zuniceratops","52820","13881","extinct","3"
"94031","94031","txn","","","Auroraceratops","","94031","genus","Auroraceratops","52774","19841","extinct","2"
"67673","67673","txn","","","Graciliceratops","","67673","genus","Graciliceratops","52774","14425","extinct","1"
"328822","328822","txn","","","Mosaiceratops","","328822","genus","Mosaiceratops","52774","56452","extinct","1"
"310995","310995","txn","","","Aquilops","","310995","genus","Aquilops","52774","53819","extinct","1"
"85967","85967","txn","","","Yamaceratops","","85967","genus","Yamaceratops","52774","18688","extinct","2"
"55581","55581","txn","","","Liaoceratops","","55581","genus","Liaoceratops","52774","14923","extinct","2"
"66588","66588","txn","","","Asiaceratops","","66588","genus","Asiaceratops","52774","14447","extinct","8"
"55575","55575","txn","","","Archaeoceratops","","55575","genus","Archaeoceratops","52774","9501","extinct","3"
"153948","153948","txn","","","Xuanhuaceratops","","153948","genus","Xuanhuaceratops","66631","30715","extinct","1"
"55579","55579","txn","","","Chaoyangsaurus","","55579","genus","Chaoyangsaurus","66631","3997","extinct","1"
"65703","65703","txn","","","Chaoyangosaurus","replaced by","55579","genus","Chaoyangsaurus","66631","13360","extinct","1"
"38863","38863","txn","","","Stenopelix","","38863","genus","Stenopelix","66631","35190","extinct","1"
"90117","90117","txn","","","Yinlong","","90117","genus","Yinlong","66631","19282","extinct","1"
"333388","333388","txn","","","Hualianceratops","","333388","genus","Hualianceratops","66631","57331","extinct","1"
"313238","313238","txn","","","Xuanhuasaurus","","313238","genus","Xuanhuasaurus","38843","46057","extinct","0"
"57097","57097","txn","","","Serendipaceratops","","57097","genus","Serendipaceratops","38842","10340","extinct","1"
"38779","38779","txn","","","Notoceratops","","38779","genus","Notoceratops","38842","36628","extinct","1"
"119495","119495","txn","","","Microceratus","nomen dubium","38842","suborder","Ceratopsia","38842","26703","extinct","3"
"38847","38847","txn","","","Microceratops","nomen dubium","38842","suborder","Ceratopsia","38842","13553","extinct","3"
"161139","161139","txn","","","Albalophosaurus","","161139","genus","Albalophosaurus","38842","31493","extinct","1"
"54478","54478","txn","","","Dysganus","nomen dubium","38842","suborder","Ceratopsia","38842","15650","extinct","0"
"142131","142131","txn","IF","","Ceratopsipes","","142131","genus","Ceratopsipes","38851","29242","extinct","1"
"52929","52929","txn","","","Polyonax","nomen dubium","38851","family","Ceratopsidae","38851","53327","extinct","1"
"53952","53952","txn","","","Einiosaurus","","53952","genus","Einiosaurus","251723","14725","extinct","3"
"53956","53956","txn","","","Achelousaurus","","53956","genus","Achelousaurus","251723","14725","extinct","2"
